,userName,content,score
202,Satria Adhi Putra Perdhana,"Kenapa update terakhir tiktok malah menjadi berat dan lag. Padahal di versi sebelumnya tiktok lancar dan ringan tanpa lag, namun setelah update malah menjadi berat dan lag.",1
203,Saepul,"Asalnya tiktok bagus tapi kesini kesini ko jadi gini ya? terutama masalah upload video selalu tidak memenuhi syarat feed,padahal sudah mengikuti editing sesuai pedoman tiktok tapi tetep ajah gak bisa, parahnya lagi suka ngelag tiba"" tolong segera di perbaiki ya minnnn😘😔🙏",3
204,Nfth0413,"Tiktok saya kok lag ya? Padahal sudah diupdate akan tetapi malah semakin nge-lag, bahkan sering ada suaranya namun ganbar nya tidak bergerak, setelah di kembalikan ke home terkadang juga masih ngikut suaranya, tolong dong buat developer di perbaiki yg kayak gini biar ga keulang lagi...",1
205,Welsy Andini,"Ini tik tok kenapa sih??? Ngelag Mulu pas mau buka aplikasi nya pasti lama banget dan juga keluar sendiri, trus juga hp ikutan lag. Harus di uninstall dulu trus install lagi baru kembali normal eh ga berapa lama lag lagi, sudah terjadi 2x di saya. Harap di perbaiki makasih!",2
206,Anik Sc,"Ternyata bukan hp saya sja yg gk bisa jalan setelah buka aplikasi tiktok, aplikasi belum terbuka hp udah ngelag gk bisa di sentuh sama sekali, setelah beberapa menit baru kluar sendiri dari aplikasi, hp ku bru bisa di sentuh lgi.",1
207,Abigaming Abigaming,Setelah update.... Tiktok malah semakin berat dan lag padahal dlu aplikasi ini ringan dan tidak ngecrash/ngebug sekarang malah semakin berat dan banyak bug bug lainnya seperti dihp saya aplikasinya baru 1.96 gb tpi ga bisa masuk ke tiktok tolong update selanjutnya diperbaiki lagi🙏🙏,1
208,Fitra Aulia,"Tiktok ku doang yang aneh atau ada yg lain sih? Masa pas lagi scroll di pencarian topik nya pas udh sekitar 5/6 video ke scroll udah itu udah gk bisa lagi? Mandet di situ harus di kembaliin dulu baru buka satu-satu vid nya. Udh di update, udh di hapus data login ulang, udh di download ulang, tetep sama. Tolong perbaikan nya ditunggu",2
209,Larisa Suastika,Saya menyukai Tiktok dan sudah sangat sempurna bagi saya. Tetapi kebanyakan orang memberi centang satu dan tidak nyaman memakai tiktok karena update nya seperti memburuk. Saya sarankan untuk tingkatkan lagi agar berkualitas bagus untuk di semua Hp. Dan saya juga tidak merasa kurang apalagi dengan tiktok hanya kasihan dengan orang yang tidak nyaman memakai tiktok. Saran dari saya jangan update terlalu banyak karena akan membuat Lag dan patah patah Jika kebanyakan update sekian dari saya Makasih.,4
210,Iqro Eko Santoso,"Aplikasi tiktok ini sangat bagus untuk pengembangan usaha di luar kerja utama. Selain itu fitur sangat lengkap untuk pecinta effect kamera, dan fitur tiktok shop juga sangat membantu dalam pengembangan usaha umkm yang ada di pelosok yang lokasinya kurang strategis",5
211,Sandy Putra,"Akhir-akhir ini setelah di update,tiktok mengalami bug/error ,saat ingin membuka aplikasi tiktok terjadi lag/cuma muncul logo ,dan sering terjadi patah-patah yg berlebihan, tolong perbaiki masalah ini lebih lanjut ,Kami sebagai pecinta tiktok sangat mengharapkan masalah ini cepat di selesaikan, terimakasih",3
212,Atha Naila,Aplikasinya itu bagus dan banyak yang bermanfaat tapi kebanyakan ngebug gitu kadang suka gak bisa dibuka dan cuman nampilin logonya dan gak bisa dibuka . Saya harap masalah ini dapat diperbaiki.,4
213,Ramadhani Tituu,"Kenpa tiktok ga sebagus dlu,setelah update tiktokku sekarang ngelag gampang keluar kalo masuk kadang keluar sendiri tiba tiba crash mau buat videopun nunggu lama saking crash nya buka komen malah lag buka akun atau kotak pesan malah putih putih ga bisa diapa apain,padahal memori masih banyak tapi malah lag y?hpku ramnya jg berkualitas satu lagi yg bikin tiktok lag yaitu kalau muncul iklan itu iklan ini jadi lag terus keluar,mau buktikah kalau ga percaya? Kenapa sekarang banyak iklan?",1
214,Kotasigli,"Aplikasi tiktok sangat sangatlah jelekkkkk Sering error' lagi DIHAPUS AJA APLIKASI INI Gak ada gunanya!!!👎👎 Aplikasi yang paling gak guna pokoknya!! Mendingan gak usah di instal ya teman² SEHARUSNYA GAK USAH DIKASI BINTANG,TAPI GAK BISA!!",1
215,Nasywa Fadlia,"Tolong dong developer nya ini terlalu banyak upgrade dan banyak banget lag nya padahal sinyal nya bagus,cape lama lama upgrade terus , kesel banget tolong lebih di perbaiki lagi , justru lebih bagus grafik yg dulu,duhh duh mana sering banget gak bisa di buka lagi apk nya gimana sihh banyak upgrade tapi malah bagus yg dulu",1
216,Jully Anti,"Tolong pihak tiktok,kenapa setelah di update tiktok nya jadi makin lambat,untuk membuka pertama kali terlihat sangat lambat pdhl koneksi bagus,pdhl sebelum di update tidak seperti ini,tolong segera di perbaiki untuk kenyamanan pengguna 🙏",2
217,Rizal Ahmad Maulana (QuinnGamers),"Tolong diperbaiki lagi, tiktok yang sekarang malah lag tidak bisa dibuka bahkan lag nya jadi ke aplikasi yang lain. Sebelum buka tiktok lancar aplikasi yang lain tapi setelah buka tiktok dan tidak mau masuk aplikasi lain jadi lag, seperti ada virus nya. tolong lebih di perhatikan lagi",1
218,Aldira Novyardi,"Pas mau buka tiktok saya tidak bisa dibuka aplikasinya, cuma ada gambar tiktoknya saja, tolong developer diperbaiki bugnya!!!!!!!, diinstal lagi baru bisa masuk aplikasinya, tolong tiktok diperbaiki!!!",1
219,Q Yunda,"bener"" tiktok sekarang banyak eror nya , abis di upgrade , malah bikin lemot hp , bikin lag aplikasi lain , sampe ngabisan ram 5gb , padahal app gak ke buka sama sekali , stuck di logo tiktok , versi baru bikin kesel , draf jd pada ilang",1
220,Rohmah Jambi,"Saya kira salah HP atau penyimpanan data saya yang penuh, soalnya setiap buka tiktok HP jadi nge-lag,grgr tiktok sistem HP juga tiba tiba tidak merespon, aku sudah berapa kali hapus download hapus download tiktok. Tolong perbaiki lah min, sudah banyak yang mengeluhkan masalah ini. Mohon cepat ditindaklanjuti",2
221,Erik,"Aplikasi ini mudah sekali panas, menguras baterai, signal mudah hilang, sering keluar mendadak dan sering respon terlalu macet padahal jaringan memadai. Mohon di perbaiki kinerja dan kualitas aplikasi ini!",2
222,Jabrik Bhaburinik,"Tik tok knp si, setelah di update kok pas buka apk nya suka keluar sendiri, trs nge bug juga. Padahal jaringan lancar banget sampe aku hapus nih aplikasi trs aku install ulang, kalonya masih nge bug dan keluar sendiri aku ga bakal download lagi",1
223,Yuniar Istigfarin,"Ini tiktok kenapa ya gabisa dibuka terus sih? Masa cuman logonya doang yg muncul sampe beberapa kali hrs di uninstall dulu baru bisa kebuka lg, kemudian beberapa saat masih gt lagi? Ini cuman app tiktok aja ya yg masalah, apk lain lancar2 aja kok. Berarti emg sistem tiktoknya lg ga bener nih, follow up dong !",1
224,Din Kun,"Saya termasuk orang yang membuat konten di tiktok Dan sejauh ini saya masih belum menemukan masalah yang serius, dan pendapat saya... Mungkin lebih baik lagi jika ditambahkan fitur penyesuaian resolusi untuk menghemat sedikit kuota para pengguna, dan satu lagi.. Saya sering menemukan konten"" vulgar di sana, dan menurut saya itu tidak terlalu baik mengingat pengguna tiktok bukan hanya orang dewasa Jadi mungkin lebih baik jika vidio"" sedikit diperhatikan lagi, dan jika bisa ditindaklanjuti 😊",4
225,Gelsi Naira,"Aplikasinya lag banget, kenapa foto slide ga ada di pencarian? Jadi harus lewat fyp banget gitu? Sebenernya aplikasi nya bagus sih, cuman lag nya itu loh, masa pas saya masuk live, itu lag banget? Ini aplikasi paling jelek yang saya temuin.",1
226,Novia Widyawati28,"Tiktok kenapasih udah di update nggak bisa kebuka sama sekali, terus di coba hapus apknya di download lagi, malah nggak bisa login lagi. Terus ada tulisan sambungkan ke jaringan internet padahal jaringan bagus + kuota banyak🥲",1
227,Aullia Aldrin Permatasari,"Sebenarnya aplikasinya sangat bagus dan saya selalu membuka tiktok setiap hari, tapi tiba tiba tiktok tidak bisa dibuka selalu mental ke beranda awal kadang juga hanya terlihat logo nya saja. Saya harap agar pihak tiktok dengan segera mengatasi masalah yang ada agar aplikasinya dapat digunakan seperti semula lagi🌷🌷",1
228,Etika Nurilmawati (Etika),Sedih banget akhir akhir ini tik tok susah dan berat banget untuk di buka. Saat buka aplikasinya cuma keluar logo tik tok dan akhirnya hp ikutan nge lag. Jadi harus restart hp untuk bisa digunakan lagi.. Tik tok baru bisa dibuka saat uninstall aplikasi dan download yang baru. Tidak selang lama hal yang serupa berulang kembali. Jadi harus hapus download hapus download berulang kali. Tolong pihak tiktok di perbaiki lagi demi kepuasan pengguna,2
229,Fajri,"Ini tik tot eror atau gimana ya, kok cuma muncul logo tik tok aja trus juga ngefek di hp bikin blank. Harus haps dan install ulang tolong diperbaiki dong sistemnya ku pikir penyimpanan internal hp ku ya terlalu penuh ternyata nggak, kenapa ya tik tok gk nyaman banget sekarang.",1
230,Nuril Wahidah,"Dear Tiktok, tolong diperbaiki kualitas nya sudah banyak yang komplain tetapi tetap tidak ada tanggapan. Setelah update memang banyak masalah, mulai ngebug, lelet dan tidak bisa masuk hingga harus uninstall dan instal ulang. BAHKAN SAYA HARUS INSTALL ULANG SETIAP 2 HARI SEKALI!!. Tolong dong Tiktok solusinya, sebagai pengguna saya merasa sangat tidak nyaman. Saya berharap semoga masalah ini cepat ditanggapi dan secepatnya dapat solusi Thanks",1
231,lusiana rante,"Ternyata byk teman2 yg tiktoknya bermasalah tak kira cuman saya, setiap kali buka tiktok yg muncul hanya logo dan HP langsung ngelek sudah berkali2 saya hapus baru dowload lagi paling bertahan 3 hari trus error lagi, capek juga harus hapus dowload hapus dowload, malah sempat kepikiran HP saya yg error tapi coba buka aplikasi lain aman aja. Tolong tiktok di bagusin lagi aplikasinya",1
232,sherly calista,"Kirainn cuma punyaku yg tiktoknya ngelleg. Kenapa sihh tiktok tolong diperbaiki seperti dulu masak setiap dibuka gabisa,udah diupgrade juga masih sama aja lemot,diunistal juga sama aja ngelleg. padahal untuk buka apk lainnya aman"" aja sihh. tolong dong tiktok diperbaiki lagi ya terimakasih😊",1
233,Haningtia Indraswari,"Kenapa nih dengan Tik Tok, setelah update malah gk bisa kebuka sama sekali, padahal saya sudah hapus cache nya, terakhir saya hapus app tik tok nya terus download lagi emang bisa kebuka, tapi setelah saya keluar dari app nya, ngulang lagi gk bisa kebuka, MASA!! saya harus hapus terus install ulang lagi aplikasinya setiap mau buka Tik Tok, tolong dong segera rilis update tan barunya, bikes deh klo kayak gini",1
234,mustaham official,"Sering error,gak bisa di buka... Bug bermasalah mungkin... Harap perbaikannya di optimalkan di setiap perangkat dan lebih ringan data nya... Masa sering update tapi masih sering error juga",5
235,amin nashihul,"Tiktok lagi kenapa sihh kok setelah apk nya di buka cuma muncul logo doang,malah jadi hape saya tambah lemot seperti ada Virusnya, beberapa kali langsung keluar sendiri ke beranda kadang juga langsung hape saya off , sebenarnya apk ini sangat bagus dan bermanfaat,tapi minta tolong dong pihak tiktok perbaiki lagi sistemnya 🙏",2
236,Nur Yadi,"Tolong dong diperbaiki aplikasinya, suka keluar tiba-tiba, ada suara nggak ada gambar, suka nggak merespon, udah digeser nggak mau geser tampilanny, susah dibuka nunggunya lama banget, udah lapor tapi belum ada tanggapan, pas lapor juga mau kirim bukti video sama foto nggak bisa dikirim (coba setengah jam lebih nggak bisa bisa layar putih seperti pas memuat gitu aja terus) padahal pake aplikasi lainnya lancar aja lo, kalau udah nggak merespon hp jadi lag",1
237,Santi Ramadani,"TOLONG DIPERBAIKI!!!!!!!!, Kenapa setiap membuka aplikasi tiktok selalu stuck di logo itu juga mempengaruhi aplikasi lainnya saya sudah menghapus menginstal aplikasi tiktok lagi karena di stuck logo terus menerus ,,,untuk manajement tolong ya di perbaiki aplikasinya !!!!!",1
238,Bondan Panji04,"Setelah update akhir-akhir ini tiktok jadi sering ngelag ga bisa di buka. Dan itu ngaruh ke semua aplikasi dan HP menjadi lag. Sampai akhirnya ga bisa di pencet sama sekali dan delay nya minta ampun, udh gw banting nih HP, solusi nya cuma hapus tiktok dan restart HP. Capek gw sialan gitu gitu mulu. Update mulu tapi malah nambah rusak nih aplikasi",1
239,Naina Nainacanz,"Kok pas update ny jdi gini sebelum saya update gk gini pas buka tik tokgk bisa kaya intro nya tu luamaaaa poll sampe 1 jam lebih Saya kira itu jaringan jaringan di rumah saya tidak bagus tapi pas itu wi-fi saya sudah dibayar Baru saja habis dibayar dan kok nggak bisa buka terus disitu saya bingung kirain saya yang nggak bisa buka Tik tok karena memorinya full ternyata nggak, jadi tolong perbaiki ya tik tok.",2
240,Ragil Utami,"Sekarang TikTok udah agak mengecewakan pengguna hp android yang kapasitas RAM nya rendah ya, ngelag ditambah kapasitas besar sampe 2 GB, mohon maaf ya development program, nggk semua orang punya hp bagus yang kapasitas RAM dan sistem tinggi, meskipun cuma minoritas tapi saya sangat berharap sebagai pengguna TikTok dengan hp android butut bisa menikmati TikTok dengan nyaman. Fitur yang ditawarkan memang menarik tapi jika kami tidak dapat menggunakannya dengan nyaman apa gunanya.",1
241,Fakhri Aziz Firmansyah,"Aneh banget sumpah, sebelum nya gabisa dibuka cuman keluar logo kirain hp lagi eror udah restart ulang tetap gabisa cuman keluar logo. Saya instal ulang akhirnya bisa, eh besok nya malah tetap sama. Masa iya harus lepas pasang kek gitu. Tolong dong di perbaiki apa harus hp model terbaru, soalnya temen saya ada yg kayak gitu. Mohon bantuannya",1
242,Andres Ringo,"Kenapa ya tiktok belakangan ini sering banget berulah, pas dibuka app tiktok dan hanya muncul logo lama banget bahkan sampai HP panas, pas dikeluarkan jadi buat app lain ngeleg minta ampun dan bahkan tiba tiba HP mati. Tolong pihak tiktok segera perbaiki fiturnya. Terimakasih",1
243,Marisa Gita,"Ada apa dengan tiktok ini? Sebelumnya bagus"" aja aplikasi nya, saya sudah lama menggunakan tiktok, baru aja di update kok skrang knpa masuk pembukaan pertama lodingnya lama kli gk terbukak"" pdhal jaringan bagus dan menggunakan WIFI jugak itu kenapa ya? Tolong dong pihak tiktok diperbaiki kayak sebelumnya🙏🙏",2
244,Ponsel Letto,"Akhir akhir ini lemot parah padahal sinyal maupun wifi tinggi, video yg lewat pun sering di ulang ulang, video yg di upload engak semulus HD smooth sebelum nya, semakin di update malah tambah parah bug ny, masuk live jualan, nonton scroll vt, belanja tiktok shop nya pun sering ngelag parah.. Ayolah perbaiki buktikan performa kinerja tiktok jauh lebih baik dari apk lain, untuk kenyamanan bersama juga, padahal ini apk yg paling disukai sejuta umat masa ia menurun drastis gini kinerja apk nya.",3
245,Isi Ref GBHTXZ6QRXYZU dptbonus,"Suka dan sangat senang menggunakan aplikasi tiktok buat menonton video, dimasa pandemik seperti ini sangat membantu memberikan kenyamanan dan kepuasan bagi para pengguna nya, aplikasi nya mudah digunakan dan enak banget digunakan walaupun jaringan lagi kurang stabil karena aplikasi ini memiliki berbagai fitur-fitur yang sangat membantu dalam hal pemutar video. Semua anggota keluarga aku sangat menyukai nya karena sangat bagus dan membantu banget mendapat kan hiburan.",4
246,Kay Key,"Sebelum saya update gak ada masalah sama sekali .. Kemarin baru saya update kok jadi sering ngelag parah... Padahal sinyal bagus.. Pake wifi ato data seluler tetep aja ngelag .. Padahal buka aplikasi yg lain aman dan lancar"" aja Tolong segera di perbaiki.",1
247,Vita Nur,"Maaf sebelumnya, kenapa habis di update apk tiktoknnya jadi begini ya. saya tidak bisa masuk ke apknya. tolong diperbaiki lagi ya masa saya harus matikan daya nyalain lagi kalo mau bisa masuk ke tiktok. Diperbaiki lagi secepatnya ya terimakasih 🙏",3
248,cindy nvtsri,"Kok setelah di update tiktoknya malah ga bisa di buka malah stay di logo terus, terus tiba-tiba ngelag ke HP mati sendiri padahal penyimpanan memori HP masih banyak, ada hal sering bersihin cache juga tapi tetap tidak bisa di buka. Mohon di perbaiki lagi, terimakasih 🙏",1
249,Ansyah Jef,"Aplikasinya bagus hanya saja kalau live suka gak bisa, padahal jaringannya bagus, internetnya kuat, data/wifi nya juga nonstop, tapi masih aja gagal buat live alasan tiktoknya jaringan kurang baik heran deh. Tingkatkan lagi yah kualitas aplikasinya, terutama dalam nangkap jaringan. Ok sekian dari saya makasih 🙏😌",3
250,Naftavia Farah Melinda,"Kebanyakan update jadi ngelag padahal memori sy msh banyak, setelah update tiktok hp say lgsg bug, ngehang gak bisa dipencet2, memori sy lgsg penuh, alhasil harus di restart ulang hp baru bisa pake tiktok&memori nya kembali semua, pemakaian apk pake wifi / kuota gede jg ttp lag, kadang suara ngedouble, kadang apk keluar sendiri, sering layar hitam/putih, fitur edit jadi gak bisa cut lagu. Segera perbaiki ya!",3
251,Mufti Abdul Ghani,Setelah update justru tiktok sekarang susah untuk edit video nya. Terutama di bagian sesuaikan video. Jadi gak bisa di potong atau di edit.. Mudah2an fitur edit video di tiktok bisa di kembalikan lagi..,3
252,Suci Anita,"Emang app nya bagus sih aku kasih bintang 4 karena setiap aku gabut pasti liat ini , tapi tolong diperbaiki lagi bug nya , dan filternya suka hilang , satu lagi kenapasih setiap berapa bulan atau beberapa minggu kok suruh update terus , tolong dong benerin",4
253,SYNC198 Channel,"Skrg mulai Error ya tiktok, apalagi saat Livestream ketika pakai apk pihak ketiga jadi tidak ada suara sebelum update aman saja, dan lagi tiap bbrp kali aplikasi tidak bisa di akses dan terjadi seperti force close tetapi tidak bisa keluar dan dalam halaman aplikasi berjalan tidak muncul tapi lag sampai saya harus restart hp dan download ulang, lag sampai harus reboot mode aman gatau kenapa.",2
254,Naya Nofidya,Tiba-tiba kok ngelag begini? Aplikasinya gak bisa dibuka pula. Padahal kemarin masih bisa. Ditambah lagi selalu ngestuck di loading screen. INI ADA VIRUSNYA APA GIMANA SIH? YA MASA GUE HARUS INSTAL ULANG TERUS SIH! PERBAIKIN DONG DEVELOPER!! SEBULAN UDAH 5 KALI INSTAL ULANG MULU,1
255,zeldy Reihan,"Aplikasi nya bagus , cuma sering ngebug , jalannya lama dan terkesan Berat , tiktok gak bisa di buka berhenti di logo gak bisa masuk , kalo mau masuk apl harus hapus dan download ulang, pliss tolong perbaiki",1
256,Zizoualdo,"Tiktok adalah aplikasi yang bagus untuk mencari hiburan atau suatu informasi, tapi sayangnya beberapa kali TikTok saya mengalami erros. Aplikasi tidak dapat dibuka (stuck di logo TikTok) walau sudah di update, saya kira hp saya yang bermasalah ternyata banyak orang yang mengalami hal yang sama. Saya harap error/bug ini dapat segera di atasi untuk kenyamanan pengguna. Terimakasih",3
257,Sri Marniati,"aku suka aplikasi tik tok, sangat menghibur, tapi akhir-akhir ini sering ngeleg yg muncul cuma logonya aja gak bisa masuk di aplikasinya, harus uninstall dulu baru bisa kepake, sudah kesekian kali ku uninstall download lagi, tolong segera di perbaiki Tik Tok nya🙏",1
258,Taku Kurogame,"ini kenapa jadi error yah, padahal memori syaa masi banyak dan lancar lancar aja di apk lainnya kecuali tiktok ko gabisa. ketika saya coba masuk ke apk tiktok yg terjadi malah nge frame dan itu sangat mengganggu saya. saya harap tiktok bisa kembali seperti dulu lagi yg lancar tanpa gangguan sprti ini. terimakasih",1
259,Nailah Ashila,"Kok tiktok sekarang kayak gini sih!?? Ga jelas tau ga! Orang jaringan lagi bagus lancar benget, tiba tiba pas buka tiktok malah tulisan jaringan tidak stabil atau segala macam!! Tolong diperbaiki lah! Giliran aplikasi lain malah bagus banget!! Lah tiktok ga bisa kebuka kebuka!!!! Tolong yaa!? Gaje banget aplikasi satu ini.",1
260,Hery Silvi,"Tik tok error , akun bisa kehapus tiba"" dan mau masuk ulang lagi gak bisa , di notif cuma tulis tidak ada koneksi jaringan, pdhal dah aq cba dari pkai data Wi-Fi n juga data seluler .msih tetap gak bisa. Sungguh kecewa sma aplikasi ni . Ni dah yq kedua kalinya akun saya mengalami hal yq sma. 😒",1
261,Api Geratis,"Maaf kepada developer. Aplikasi tiktok semakin aneh, saat saya membuka aplikasi tiktok ini saya malah dibawa ke play store, bukan ke aplikasi utamanya, tolong di periksa lagi, apakah bug hanya di hp saya atau dari aplikasi tiktok sendiri 🙏",3
262,adonia Filandi,"Perasaan baru habis update ini udh d suruh update lg, terus kok pas lagi nonton kek durasi videonya ni udh mau abis tiba2 muncul iklan gtu, mksdnya gimana nih tiktok sekarang? Apa nnti pas lagi enak2 nonton di pertengahan video tiba2 iklan gtu? Tolong di perbaiki dong",1
263,Vivo Vlli,Aplikasi TikTok kurang memuaskan. Bahkan sangat sangat mengecewakan. Terkadang sering kluar sendiri. Terus sering bug tidak bisa dipencet. Selain itu jaringannya sering lelet.,1
264,Talitha Meirina Asyifa,"tiktok sekarang kenapa yaa? tolong dongg diperhatikan.... karena sekarang tiktok sering banget ngelag, ngebug dan sebagainya, terutama kalo baru masuk apk nya.. terus ada iklan, buat scroll ke bawah pasti ngelag dulu, dan itu semua berpengaruh ke hp dan juga apk lainnya, gara gara ini, bisa menyebabkan hp error bahkan apk lain ikut tidak bisa kebuka, mohon kepada pihak yang bertanggung jawab atas semua ini, tolong diperbaiki lagi untuk kenyamanan penggunaan semua warga tiktok, terimakasih 🙏🏻",1
265,Iin Puri,"Senang banget menggunakan aplikasi tiktok dan yang paling membuat bahagia dengan berbagai konten kreator pilihan bisa kita nikmati, dari dulu hingga sekarang aplikasi tiktok, diantara beberapa aplikasi pemutar video yang pernah aku cobain aplikasi inilah yang semarak banget digunakan. Setiap konten nya memiliki makna dalam hal hal yang positif.",5
266,Desiana Sri Dewi (Ana),"Kenapa ya fitur foto dan geser gambar di tiktok saya selalu hilang? Sudah beberapa kali saya coba reinstall, awalnya 2 fitur ini muncul. Tapi saat saya close aplikasi kemudian saya buka kembali fitur itu hilang lagi. Mohon diperbaiki.",3
267,Islam Fitri Ramadhana,"Kalau ga salah udah beberapa hari ga bisa masuk tik tok, stuck di logo... Parahhh... Kirain HP nya yg minta lem biru, setelah baca ulasan banyak juga yang mengalami hal sama... Barusan mau uninstall dan reinstall tapi minta di update, abis update bisa weyy Alhamdulillah..",3
268,Teddy Pamungkas,"admin saya kasih bintang 2 dulu,karna dr aplikasinya kenapa sekarang tidak bisa upload video atau bikin konten... dan dapat notifikasi terus menerus seperti ini ""tidak bisa di upload video durasi kurang dr 1 detik buat saat ini"" padahal saya mau upload durasinya sampai 1menit lebih. mohon infonya dr pihak admin pembuat aplikasi ini. kalau begini terus,yang ada buat kedepannya.aplikasi ini akan kehilangan peminatnya & bakal di uninstal sama semua pemakai aplikasi ini mohon di perhatikan admin...",1
269,iky.,"Setelah update... buka tiktok nge-crash di LOGO, RAM cuman 4gb langsung ngehang hp, buka apknya aja RAMnya sampai 1gb-an, belum lagi aplikasi otomatis atau aplikasi bawaan.",1
270,Mhamad Abidin,"Tiktok skrng parah banget ,setiap hari elor Mulu mentog di loga cape berapa kali saya harus download lagi dan lagi,dan sering terjadi bug atau elor ,kaya gapunya data tapi data banyak ,tolong lebih di perbaiki lagi ,sayang apk sekelas tiktok makin kesini makin rusak dan ga nyaman ..",1
271,doni riyawan,"Sebenernya aplikasi nya bagus sih,, cuma kenapa akhir akhir ini sering nge bug,, dan membuat hp nge blank, jadi aplikasi lain ikut terdampak juga sama bug nya.",3
272,Rismahaya Amelia,"Tolong tiktok, gak semua orang yang ingin melihat hiburan maupun mengisi waktu luang nya bahkan buat konten pun mampu upgrade hp ke ram yg lebih besar lg termasuk saya.... Mskin ke sini makin upgrade makin berat juga ruang penyimpanan nya,kadang nge lag, keluar dari apk sendiri bahkan bikin hp ke refresh ulang Tolong solusinya pihak tiktok kami mohon,tidak semua beruntung menang konten GA HP Android apalagi iPhone",2
273,Ruby 29,"Pada saat update tik tok yang terbaru sedikit mengecewakan, karena pada saat upload video tik tok, kok malah langsung otomatis tersimpan ke galery telpon??😌😌 Cepat penuh memory akhirnya.",5
274,Maigita Rahmalia,"Tik tok gmn sii akhir"" ini ga jls, pas mau buka apk nya cuma muncul logo, jd nya harus di uninstall dulu baru di download ulang lg klo mau nonton tiktok, setiap hari jd gini mulu, masa iya klo mau nonton tiktok harus di uninstall dulu sayang jg kan kouta nya di pake buat tiap hari ky gini, udh gitu sekarang poin suka ga muncul kan lumayan ada nya koin, jd males buka tiktok sekarang 🙃",1
275,Chantika Gumilar,"banyak bug, suka lag lebih suka tiktok yang dulu dari pada yang sekarang, sekiranya ada fitur yang ga berguna hapus aja, terlalu makan ruang tiktok skrng, buat login ke akun aja ga bisa tolong secepatnya di perbaiki",1
276,Cindy Anggraeni,Tolong ya diperbaiki lagi tik tok sering kali stak logo saja dan itu membuat hp saya lemot dan harus uninstall tik tok dan download lagi itu pun biasanya 2/3 hari sekali seperti itu tolong diperbaiki lagi!!,2
277,"Doni, S.H.","Makin gak jelas. Kenapa aplikasi Tiktok susah sekali dibuka diawal, tolong diperbaiki. Bulak balik uninstall dan install ulang. Setelah itu normal hanya 5 hari saja. Tolong lah pihak developer Tiktok perbaiki aplikasi mu ini. Tks",2
278,Xiaomi Redmi8saja,Dari dulu saya main tik tok baik baik saja tapi setelah update tiba tiba hp saya ngelag banget dan lemot ngeframe tidak bisa di sentuh harus dimatikan total dulu dan kalau sudah begitu saya pasti uninstall tik tok dan download lagi tik tok tolong perbaiki masalah begini saya sudah uninstall tik tok dan mendownload lagi tolong perbaiki masalah ini. Karena membuat hp saya ngeframe ngelag dan tidak bisa disentuh harus dimatikan total dan sekarang walah Tik tok tidak bisa dibuka padahal sinyal bagus,1
279,Raminem Rami,"Kirain punyaku doang yg ngelag, aku tuh slalu uninstall dulu trs download lgi biar bisa buka tik tok, mlh sekarng klo mau buku gk bisa aplikasi nya ngambang doang klo di sentuh sama sekali gk bisa masuk, ini gimana sih udah di update bolak balik.",1
280,Daniello,"aplikasinya loading mulu, saat membuka fitur lain tidak loading, tetapi waktu membuka fitur untuk melihat rincian pesanan dan mengontak penjual tersebut selalu loading. Tolong diperbaiki.",1
281,Fathan.Muhammad,"Aplikasinya selalu ngebug, gabisa dibuka aplikasinya menyebabkan hp lag dan ngefreeze, tolong perbaiki bug ini, karena ini sangat mengganggu!",1
282,Jaya Yadi,"sudah 1 bulan ini tik tok makin parah , lag, sering keluar sendiri dari aplikasi, lemot kalau bikin konten atau pakai filter dll. tolong dong ko bisa kayak gini sekarang tik tok bukan kayak dulu enak keren kalau sekarang parah sumpah 🙏🙏🇮🇩",1
283,r4isha syahla,"menurut saya setelah di update, setiap mau buka tiktok, pasti selalu keluar terus, tida bisa masuk, selalu keluar ke beranda hp saya, saya ga ngerti ini kenapa, saya harus download ulang, tolong diperbaiki pihak tiktok, masi banyak bug yang harus di hilangkan.",1
284,triana wati,tiktok sekarang kenapa ya.. baru juga di up udh g bisa di buka lagi cuma muncul logo nya aja harus unist dulu download lg tiap hari begitu2 terus.. tolong di perbaiki ya apk nya supaya lebih nyaman di gunakan.. kansekarang tiktok shop udh di hapus harusnya apk nya lebih ringan fong,1
285,Erin Nurdiantari,"Sedih bgt sama tiktok sekarang,masa tiktok setelah saya update ko GK bisa masuk malahan cuma muncul logo terus GK mau masuk""EROR TERUSS,tolong perbaiki lagi min kualitas tiktoknya ,cukup kecewa sih setelah di-update ko malahan suka ngelek GK jelas , padahal sebelum di-update baik baik aje tuh😞 Tolong diperbaiki lgi ya min",1
286,Gaudensius Latong,sebelum nya tiktok baik² aja ntah mengapa setelah update jadi makir parah sampai tidak bisa di buka / digunakan. udah update di buka aplikasinya hanya mentok logo gak muncul beranda nya. tolong lah diperbaiki lagi sistem nya,2
287,HE “HEHEHE”,"Halo, saya pengguna Tik tok saya ingin memberi keluhan tentang tiktok, Saat Tik tok update saya sering mengalami hal ini, saat saya ingin menggunakan Tik tok selalu tidak bisa masuk ke apl nya, hanya ada background Tik tok nya saja, Dan kadang juga apl nya tidak berfungsi dengan baik, Mohon untuk di perbaiki jika ada kesalahan ""Terimakasih""",2
