,content
143,"Mungkin dulu bagus banget...tapi kalo sekarang hp ku kadang lag/kena virus gitu kalo buka tik tok.. akhir akhir ini juga hp saya sering direset karena tik tok...hp saya tiba"" lag dan kena virus bebera hari ini.. mungkin apk ini menurut saya ada virus nya..tapi lumayan lah apk nya bisa buat saya tidak bosan walau harus kadang di reset."
144,Tolong dong developer perbaiki tiktoknya... selama ini saya pake tiktok biasa-biasa saja tapi setelah di update malah habis itu aplikasinya gabisa di buka malah bahkan setelah di buka hape saya ngelag dan mati sendiri seperti ada virusnya tolong segera di perbaiki sekarang juga. Terimakasih
145,"Tik tok sekarang aneh, tiba2 gk bisa di buka aplikasi nya, harus download ulang trus aja gtu,, normal sehari 2 hari besok ny gk bisa di buka lagi, ngabisin kuota aja . lama2 pindah ke aplikasi sebelah juga nih . perbaiki ya sblum kehilangan pelanggan setia tik tok . semoga di reaponn ... Trimakasihh"
146,"Aplikasi gajelas!! habis diupdate lag"" sendiri & sudah instal ulang tetap sama lemotnya stuck di logo & akhirnya hp mati. Ga bisa login & akhirnya buat akun baru jadi males!!!! bikin emosi!!!!!"
147,Setelah di Update bukannya tambah bagus malah semakin parah yang muncul tombol Tiktok nya aja lagi aplikasi nya berat banget kadang bisa mati Sendiri hp saya sudah saya sampaikan mengenai hal ini namun tak ada respon dari pihak tiktok 🤦 mohon di tanggapi gitu keluhan kami tidak seperti yang dulu lagi ringan di bukanya.
148,"Versi sebelumnya masih ada sedikit bug pas buka video ada lag2 nya padahal jaringan internet bagus.. Jadinya di update berharap ada perbaikan, taunya malah nge bug gk bisa di buka aplikasinya sama sekali.. Tolong diperbaiki bug nya tiktok.."
149,Untuk developer tik tok.. Tolong di perbaiki lagi karena masih banyak bug dan tik tok nya sering leg setelah di upadate aplikasi tik toknya..tolong untukkk di perbaikiiii!!!!!!!!!!!!!!!!!!
150,"ini tolong dong diperbaiki masalah bug nya masa di update malah sering bug keluar sendiri kadang malah gabisa masuk ke tiktok padahal jaringan penuh penyimpan juga masih banyak, tolong perbaiki."
151,"Habis di upgrade bukannya makin bagus dan lancar ini malah lemmot, trus gampang panas klo pas buka app ini. Di buka g bisa jadi sering copot dan instal ulang lagi dan berkali2 seperti itu. Tolong segera d perbaiki."
152,"Ini kenapa ya setelah update tik tok sering lag,,,,,,,,,dan kadang klo kita scroll tik tok itu sering lag kayak gak bisa di gerakin padahal sebelum update tik tok gak pernah lag,,,,,dan klo kita mau bikin vidio itu klo mau coba filter itu kayak lag gitu padahal penyimpanan masih banyak ok segitu aja semoga bisa di perbaiki ya🙏🏻"
153,"Hampir setiap hari Tik tok saya tidak bisa dibuka , ngestuck, itu sangat menggangu saya,cara satu satunya dengan cara menghapus dan mendownload nya kembali. Ayolah jika ada masalah diperlukan baiki terlebih dahulu. Semoga Tik tok kembali normal seperti dulu lagi. Sekian dari terimakasih."
154,"Subtitle di tiktok sudah gaada, aplikasi gabisa di buka sekali bisa di buka hanya terlihat logo tiktok saja, tiktok saya seperti nge bug jadi kalo mau liat tiktok harus uninstall dan download ulang kadang juga lemot saat pemutaran Vidio, aplikasi kebanyakan update, tolong lah tiktok di perbarui lagi kualitas nya, di update bukanya semakin bagus tapi knp malah semakin memperburuk😏"
155,"Stelqh upgred ke versi baru, skrng susah di buka harus unistal dan daftar lagi. Susah banget buka aplikasi nya lama malh kadang hp nya sampe mati. Pdahl buka aplikasi lain bisa. Tolong ini segera di tangani agar tidk sulit di gunakan."
156,"tiktok kok aneh ya banyak banget bug nya, ini bisa aja tiap bulan update mululu tapi bugnya ga diperbaiki sama sekali, contohnya efek tiktok aku pada hilang semua padahal sebelumnya ga gitu terus suka lag banget padahal sinyalnya oke"" aja. tolong ya diperbaiki, aplikasinya udah bagus cuma kekurangannya itu aja. mohon diperbaiki secepatnya."
157,"Tiktok bagaimana sih , sistem nya error' lagi setiap mau di buka selalu error dan merambat ke apk lain bahkan ke hp,kalau mau nonton pasti harus di uninstall dulu baru di download lagi begitu terus.titok tolong kesalahan teknis nya segera di perbaiki"
158,"Setelah update tiba tiba TikTok ga bisa dibuka, cuma stuck di logo TikTok. Harus uninstall dan install ulang setiap kali kejadian seperti itu. Sudah uninstall 3 kali seminggu semenjak update. Tiktok juga semakin lemot dan videonya kadang patah patah. Tolong diperbaiki ya....."
159,"Sebelumnya apk tik tok ini tuh udh bgs bgt tapi kadang kalo mau masuk itu suka ngebug dan bug nya itu lama, misal kita mau masuk ke apk tik tok ny tapi logo ny itu lamaaaaa bgt dan harus dowload ulang biar bisa masuk, jdi bikin maless dan bete terkadang kalo aku mau masuk itu kadang""akun aku selalu hilang dan harus daftar lagi jdi tolong untuk update kali ini kalo bisa diilangin bug""nya"
160,"Gak tau kenapa tiba-tiba gak bisa posting ulang video, penampilannya malah kaya tiktok lite padahal bukan. Tolong dibenerin dulu, sama baca komentar setelah di update orang lain bukannya makin bagus malah makin anjlok ya kualitas nya 😅"
161,"Untuk efek, saya mau mencoba tapi kok error, suka nekan sendiri padahal hp saya baik"" aja dan sinyalnya juga. Perbaikin yang bug-bug itu dari efek dan video yang sudah di save atau difavoritkan itu suka hilang sendiri."
162,Tolongdi perhatikan dan di perbaiki akhir2 ini tiktok sering update juga kadang eror gak bisa di bukalah.cuma muncul logo kadang tidak menanggapi hal tersebut mempengaruhi aplikasi lain jd ngeleg ngebug patah2 lelet sudah banyak yg mengeluh jd mohon buat management tiktok tolong di tindak lanjuti.
163,"Dear tik tok, saat saya baru mendownload tik tok, setelah beberapa lama misalny 2 Minggu saya tidak bisa lagi membuka tik tok ,kenapa? Kalo masalah device, device saya cukup kuat kok ram 4, saya hanya tidak bisa membuka apl tik tok tetapi apl lain bisa, semoga di liat🙏"
164,"tiktok tolong diperbaiki, tiktok saya sudah hampir 3 hari ini tidak bisa dibuka dan nge bug. padahal ruang penyimpanan saya masih ada. ketika saya ingin buka aplikasi tiktok, selalu terjadi bug dan hanya muncul logo. mohon bantuannya tiktok, tolong diperbaiki !!!"
165,"Tiktok setiap update stuck logo doang + mau buka aplikasi lain gabisa gara RAM nya terkuras oleh tiktok, dan jg sy mau unggah video tidak bisa karena video kurang dari 1 dtk padahal video yg mau di unggah berdurasi 30 dtk. Tolong perbiki lagi"
166,"Bener bener sangat mengecewakan, saya pengguna tiktok dari lama, tapi makin kesini tiktok makin jelek. Setelah di update jadi ga bisa di buka ya, padahal sebelumnya bisa bisa aja. Kalau mau buka tiktok harus hapus dulu aplikasi download ulang hahaha"
167,"Tolong perbaiki kenapa skrg tiktok sllu tdk bisa dibuka. Tp stelah uninstall dan di install kembali bru bisa. Tpi kemudian tdk bs dibuka lgi. Sinyal stabil, aplikasi update terbaru. Smartphone mendukung. Jd masalhny apa?"
168,"Tiktok banyak bugnya skrg ga kaya dulu, main tiktok ketika sudah 30 menit lebih ngelag saat pemutar vidio, bukan hanya itu. Ketika saya scroll vidio tiba² ada suara live streaming orang padahal lagi ga nonton live orang lain. Ga mungkin handphone saya yang ngelag, soalnya snapdragon 870 dan memory 256gb. Main game berat dan sosial media lain lancar saja ga kaya tiktok ngelag! Tolong di perbaiki."
169,"Ngebug seperti ada virus yang membuat hp ngelag dan menyebar keseluruh aplikasi lainnya, tolong diperbaiki lagi masalah di aplikasi tik tok, dan tidak ada gangguan lagi pada pengguna aplikasi terima kasih."
170,"PLISSSS TIKTOKKK, tolong diperbaiki, banyak juga yang protes kalau belakangan ini tiktok sering ngelag+gak bisa dibuka, cuma ada logo tiktok nya aja, saya sering sekali uinstal aplikasi tiktok, karna setelah di hapus dan didownload kembali baru bisa dibuka lagi, tolong perbaiki aplikasi tiktok, dan itu juga memengaruhi aplikasi lain, tolong sekalii yaaaa🙏"
171,"Proses tarik dana yang sangat cepat menjadikan aplikasi ini semakin mantap dan memuaskan ya, sederhana dan mudah digunakan baik dalam memutar video maupun sebagai pembuat konten kreator. Aplikasi nya minim bug sehingga enak banget ketika digunakan menonton video, selama menggunakan aplikasi nya tak ada kendala sama sekali."
172,"setelah di update malah sering lag, penempatan for you nya udah paling benar di sisi paling kanan, malah diubah di tengah, lagi-lagi update tiktok mengecewakan, font nya jelek, ngga ada fitur translate, Iklan nya bukan cuman di beranda, sekarang kalo nge scrol akun juga muncul iklan nya"
173,"skrg serba salah,mau terjemahin ribet harus buka subtitle,kalo mau di otomatis kadang ng ganggu dan ribet,enak yg dulu simple dan sesuai kemauan kita,tombol terjemah ada di caption,dan saran saya tambahkan fitur tema gelap"
174,"Pokok nya aplikasi tiktok yang paling bagus dan enak banget digunakan menonton video ya, yang membuat aplikasi ini semakin pantastis yaitu penghasilan tambahan yang bisa kita peroleh lumayan besar kawan ketika menggunakan aplikasi ini buat menonton video ya, seiring berjalan nya waktu semakin banyak aplikasi pemutar video namun belum ada yang sesempurna tiktok soalnya sangat menghibur dan memberikan kepuasan total ya kawan."
175,"Udh puas dengan appsnya karna terbukti membayar tidak seperti yang lain disini penarikan lancar, saya benar-benar bisa menikmati dan menjalankan apk nya untuk mencari rupiah, walaupun ada iklan tapi tidak mengganggu karna masih bisa di langkahi, selama ini gak ada masalah dengan penarikan, aplikasinya juga mudah di pakai, dengan mengerjakan semua misi-misi yg di sediakan aplikasi, sekedar aaran sedikit klo bisa durasi videonya di panjangkan dikit"
176,"Tolong jika sudah di update kenapa malah gabisa di bukaa?,padahal internet lancar aja klo ke aplikasi lain tpi kenapa jika ke. Tiktok malah logonya saja dan tidak muncul videonya??, padahal memori juga masih banyak sekitar 5gb ,mohon di perbaiki setelah update dong bukan malah ngebug"
177,"Tolong untuk memperbaiki,karena Tik tok sekarang sangat Lag/Patah-patah,menguras baterai latar belakang,ForceClose/Tik Tok telah berhenti,dan cepat membuat hp panas.saya yang bermain tik tok dari dulu dan merasa tik tok sekarang sangat Lag merasa tidak nyaman saat menonton/scrolling video padahal cache/penyimpanan sudah di bersihkan."
178,"Aplikasi tidak bisa dibuka sama sekali padahal saya sudah update ke versi terbaru tapi tetep saja tidak ada perubahan, semua file sudah saya hapus tapi tetap saja tiktok tidak bisa dibukak, tolong dong perbaiki, padahal dulu tidak seperti ini, DIMOHON UNTUK DIPERBAIKI LAGI APLIKASI INI!!!!!😡"
179,"Sekarang karena tik tok sering update, tik tok jd nge bug tidak bisa dibuka hanya muncul logo nya saja dan itu mempengaruhi aplikasi lain dan HP sy jd tb tb mati karena itu, tolong perbaiki lagi aplikasi nya"
180,"Awalnya seneng banget, dan kebantu ada tik tok shop... jadi ngenalin banyak UKM² yg emang gk ada di ecommerce lainnya... selain itu juga harga yg bersaing, cara pembayaran yg mudah dan cara pengembalian dana yg menurut ku juga ndak menyulitkan..."
181,"Saya pengguna samsung note 9 Banyak yg bilang aplikasi ini di samsung bikin mati dan lag, saya sudah mengalami sendiri, aplikasi tiktok ini bikin hp samsung note 9 saya mati sendiri dan hp sangat"" lag dalam buka semua aplikasi bawaan hp mau pun aplikasi lainnya. Sangat"" parah"
182,"Dear Tiktok, Setelah update kamarin, saya mengalami beberapa masalah saat mengupload video, saya sudah mengizinkan unggahan berkualitas tinggi namun setelah beberapa saat video saya terupload, kualitas dari video saya menjadi menurun, hal ini tidak saya temukan di versi sebelumnya, jadi tolong di perbaiki🙏🙌"
183,"Ternyata bukan hp saya sja yg gk bisa jalan setelah buka aplikasi tiktok, aplikasi belum terbuka hp udah ngelag gk bisa di sentuh sama sekali, setelah beberapa menit baru kluar sendiri dari aplikasi, hp ku bru bisa di sentuh lgi."
184,"Saat memakai tiktok loadingnya sangat lama dan, tiba2 suka keluar sendiri padahal saya masang WiFi di rumah dan kuat, kadang ngelag juga saat muncul vidio padahal hp saya masih cukup memory nya,.tolong ya tiktok diperbaiki lagi agar orang memakai aplikasi tiktok baik dan nyaman, dan ngelag ngelag nya tolong diperbaiki ya kasian org2 tiktok."
185,"Asik app nya tapi kenapa belakangan ini suka macet, gak ngrespon buat like gak bisa malah keluar sendiri terus bikin video durasi 56 menit tapi yg 24 menitnya aja yg ada suaranya belakangnya gak ada gimana sih kecewa banget Sekarang dulu gak gini tolong Perbaiki... Makasih... Dan Sekarang malah gak bisa masuk Sama sekali... Sering Kaya gitu.."
186,"Setelah di update malah sering bug dan keluar sendiri dari aplikasi, mau buat story juga kadang bs dan kadang egk. Jaringan selalu egk stabil katanya padahal WiFi aman-aman aja. Mohon lebih diperhatikan dong 🙏🏻. Aku kasih bintang 3 aja dl"
187,"Susah banget mau bukaa apk tiktok , setiap di bukaa ada suara ga ada gambar , tiba tiba keluar lagi dengan sendiri nya , bgtu mulu setiap bukaa . Padahal signal nya bagus . Jdi males buka tiktok . Tolong mas/mba di perbaiki . Udah ada kali 3 minggu gaa buka tiktok . Skrng mau bukaa lagi bgtu lagi . Mending uninstal aja dah . Gaa ada perbuhan sama sekali"
188,"Setelah habis update, aplikasi nya berat banget,Dan Fitur fitur semua nya jadi gaje banget,awalnya pas pertama download bagus bagus aja tapi setelah beberapa menit Gak bisa di buka dong aplikasi nya aku sampe sebel banget aku kasih rating 1 aja yah,mohon di perbaiki lagi🙏"
189,"Kenapa Tiktok jika di update malah makin banyak bug? Bisa juga saat mau buka apk tiktok malah suara nya aja yang ada, tidak ada video nya, tolong dong perbaiki lagi sistem nya"
190,"Belakangan ini tiktok sering di update, tapi sering bug dan keluar sendiri, dan setiap saya lagi scroll tiktok tiba-tiba muncul tulisan kaya gini ""jaringan anda tidak stabil"" padahal jelas jelas itu sinyal ny ad, kukasih bintang 4!, tolong diperbaiki... agar bisa nyaman di gunakan...."
191,"Curiga aplikasi nya bervirus atau ada bug nya. Hp saya ram 4 masa cuman buka tiktok tanpa ada aplikasi latar belakang ram nya udah ke pake 3,7 GB. Main pubg aja cuman ke pake 3,4 GB. Terus bikin aplikasi lain nge lag juga. Bahkan pernah sampe kejadian hp saya freeze selama 1 jam pas buka tiktok. Bulan ini udah 4x download ulang tiktok karna tiba"" keluar dari tiktok nya terus gak bisa masuk lagi."
192,"Aplikasinya lag banget, kenapa foto slide ga ada di pencarian? Jadi harus lewat fyp banget gitu? Sebenernya aplikasi nya bagus sih, cuman lag nya itu loh, masa pas saya masuk live, itu lag banget? Ini aplikasi paling jelek yang saya temuin."
193,"Apaan anjir kadang2 ga bisa di Buka, sudah klik berkali kali tetep aja gabisa masuk, mana Leg banget padahal jaringan Baik2 sj. hapus juga fitur yang tidak berguna. Ukuran apk jg Melebihi ram anj Hp gua Ram kecil Tod"
194,"Tolong diperbaiki, udh 3x di update selama 3hr berturut-turut, tp masih tdk bisa dibuka aplikasinya.. setiap hari selalu tdk bisa dibuka, klo dihapus dan di download ulang baru bisa terbuka.. Klo seperti ini, saya bisa tinggal kan aplikasi ini"
195,"apasi iniii!!!! sebelum update apk nya bagus lancar"" aja gaada hambatan butt setelah update apk ini jdi gj (g jls) keluar sendiri trs , dan kadang juga ga bisa di buka. mohon di perbaiki lagi aplikasinya seperti semula!!!"
196,"Tiktok kok sekarang menjadi-jadi ya, dulu mb nya masih 38-46 an. Sekarang malah 98-104 malah, sampe dihp saya itu sampe ngehabisin 1,12 gb loh, sma dihp saya program apk nya itu, file tiktoknya smpe 680-690 an. Belum cache nya, akun nya, lainnya yg ada di tiktok. Itu kalo diitung akun sama lainnya, dihp saya 680-690 mb. Jadi kalo ada fitur yang ga berguna, hapus aj deh, jgn dibiarin. Tiktok dulu ga lemot lemot bgt, mohon deh min, tlg dimengerti para pengguna hp kentang ini, kita semua ga setuju!"
197,"Aplikasi ini sudah seminggu tidak bisa dibuka. Jika mau di gunakan ada informasi: ""hapus riwayat untuk memulihkan"" Wahai developer, jika saya hapus riwayat untuk memulihkan agar TikTok bisa terbuka, apakah sistem ini tidak memahami bahwa riwayat di akun sangat berarti? Bahkan dijaga datanya. Bagaimana mungkin saya bisa membuka tiktok dengan syarat riwayat dihapuskan terlebih dahulu?"
198,"Saran aja kalau sudah ada fitur baru padahal belum update tiktok jangan dihilangkan lah, kalau semisal penyebab ny update otomatis padahal tidak mengaktifkan update otomatis,tiba-tiba juga fitur yg sudah ada hilang semua ."
199,"Saya fikir hp saya yg rusak ternyata aplikasi tiktok nya yg rusak semenjak di update versi terbaru malah kadang gabisa dibuka , mentok di logo tiktok , aplikasi yg lain pun ikut gabisa kebuka karna bug dari tiktok sampe saya restart hp saya terus menerus karna nge leg terus. Utk pihak tiktok tolong sistem nya diperbaiki lg ygversi terbaru nya supaya penguna bisa enjoy menikmati fitur² keren tiktok apalagi tiktok skrg menjadi salah 1 lahan mencari cuan terbaik. Thanks"
200,"gmn y, tik tok sekarang kok makin aneh, kalau dibuka lamaaa banget loading nya (tampilan depan yg ada logo tik tok) sampe sampe gbs dibuka, terus kalau nonton live streaming org itu kebiasaan bngt y Kandangan keluar sendiri dari apk, kadang nge lag sampe hp ku panas, dan kalau ada iklan di tik tok itu pasti nge lag nya parah banget, aku sampe uninstall tik tok, tolong ya tik tok, perbaiki lagi kondisi apk nya makasih."
201,"Developer tolong dong untuk video tik tok yang langsung di simpan ke galeri resolusi nya di tinggiin soalnya burik banget pas video nya udah jadi,pas lagi ngerekam jernih.ngk kek di iPhone yg bagus bnget jadi untuk android gituin juga lah.🙏🏻"
202,"Kenapa update terakhir tiktok malah menjadi berat dan lag. Padahal di versi sebelumnya tiktok lancar dan ringan tanpa lag, namun setelah update malah menjadi berat dan lag."
203,"Asalnya tiktok bagus tapi kesini kesini ko jadi gini ya? terutama masalah upload video selalu tidak memenuhi syarat feed,padahal sudah mengikuti editing sesuai pedoman tiktok tapi tetep ajah gak bisa, parahnya lagi suka ngelag tiba"" tolong segera di perbaiki ya minnnn😘😔🙏"
204,"Tiktok saya kok lag ya? Padahal sudah diupdate akan tetapi malah semakin nge-lag, bahkan sering ada suaranya namun ganbar nya tidak bergerak, setelah di kembalikan ke home terkadang juga masih ngikut suaranya, tolong dong buat developer di perbaiki yg kayak gini biar ga keulang lagi..."
205,"Ini tik tok kenapa sih??? Ngelag Mulu pas mau buka aplikasi nya pasti lama banget dan juga keluar sendiri, trus juga hp ikutan lag. Harus di uninstall dulu trus install lagi baru kembali normal eh ga berapa lama lag lagi, sudah terjadi 2x di saya. Harap di perbaiki makasih!"
206,"Ternyata bukan hp saya sja yg gk bisa jalan setelah buka aplikasi tiktok, aplikasi belum terbuka hp udah ngelag gk bisa di sentuh sama sekali, setelah beberapa menit baru kluar sendiri dari aplikasi, hp ku bru bisa di sentuh lgi."
207,Setelah update.... Tiktok malah semakin berat dan lag padahal dlu aplikasi ini ringan dan tidak ngecrash/ngebug sekarang malah semakin berat dan banyak bug bug lainnya seperti dihp saya aplikasinya baru 1.96 gb tpi ga bisa masuk ke tiktok tolong update selanjutnya diperbaiki lagi🙏🙏
208,"Tiktok ku doang yang aneh atau ada yg lain sih? Masa pas lagi scroll di pencarian topik nya pas udh sekitar 5/6 video ke scroll udah itu udah gk bisa lagi? Mandet di situ harus di kembaliin dulu baru buka satu-satu vid nya. Udh di update, udh di hapus data login ulang, udh di download ulang, tetep sama. Tolong perbaikan nya ditunggu"
209,Saya menyukai Tiktok dan sudah sangat sempurna bagi saya. Tetapi kebanyakan orang memberi centang satu dan tidak nyaman memakai tiktok karena update nya seperti memburuk. Saya sarankan untuk tingkatkan lagi agar berkualitas bagus untuk di semua Hp. Dan saya juga tidak merasa kurang apalagi dengan tiktok hanya kasihan dengan orang yang tidak nyaman memakai tiktok. Saran dari saya jangan update terlalu banyak karena akan membuat Lag dan patah patah Jika kebanyakan update sekian dari saya Makasih.
210,"Aplikasi tiktok ini sangat bagus untuk pengembangan usaha di luar kerja utama. Selain itu fitur sangat lengkap untuk pecinta effect kamera, dan fitur tiktok shop juga sangat membantu dalam pengembangan usaha umkm yang ada di pelosok yang lokasinya kurang strategis"
211,"Akhir-akhir ini setelah di update,tiktok mengalami bug/error ,saat ingin membuka aplikasi tiktok terjadi lag/cuma muncul logo ,dan sering terjadi patah-patah yg berlebihan, tolong perbaiki masalah ini lebih lanjut ,Kami sebagai pecinta tiktok sangat mengharapkan masalah ini cepat di selesaikan, terimakasih"
212,Aplikasinya itu bagus dan banyak yang bermanfaat tapi kebanyakan ngebug gitu kadang suka gak bisa dibuka dan cuman nampilin logonya dan gak bisa dibuka . Saya harap masalah ini dapat diperbaiki.
213,"Kenpa tiktok ga sebagus dlu,setelah update tiktokku sekarang ngelag gampang keluar kalo masuk kadang keluar sendiri tiba tiba crash mau buat videopun nunggu lama saking crash nya buka komen malah lag buka akun atau kotak pesan malah putih putih ga bisa diapa apain,padahal memori masih banyak tapi malah lag y?hpku ramnya jg berkualitas satu lagi yg bikin tiktok lag yaitu kalau muncul iklan itu iklan ini jadi lag terus keluar,mau buktikah kalau ga percaya? Kenapa sekarang banyak iklan?"
214,"Aplikasi tiktok sangat sangatlah jelekkkkk Sering error' lagi DIHAPUS AJA APLIKASI INI Gak ada gunanya!!!👎👎 Aplikasi yang paling gak guna pokoknya!! Mendingan gak usah di instal ya teman² SEHARUSNYA GAK USAH DIKASI BINTANG,TAPI GAK BISA!!"
215,"Tolong dong developer nya ini terlalu banyak upgrade dan banyak banget lag nya padahal sinyal nya bagus,cape lama lama upgrade terus , kesel banget tolong lebih di perbaiki lagi , justru lebih bagus grafik yg dulu,duhh duh mana sering banget gak bisa di buka lagi apk nya gimana sihh banyak upgrade tapi malah bagus yg dulu"
216,"Tolong pihak tiktok,kenapa setelah di update tiktok nya jadi makin lambat,untuk membuka pertama kali terlihat sangat lambat pdhl koneksi bagus,pdhl sebelum di update tidak seperti ini,tolong segera di perbaiki untuk kenyamanan pengguna 🙏"
217,"Tolong diperbaiki lagi, tiktok yang sekarang malah lag tidak bisa dibuka bahkan lag nya jadi ke aplikasi yang lain. Sebelum buka tiktok lancar aplikasi yang lain tapi setelah buka tiktok dan tidak mau masuk aplikasi lain jadi lag, seperti ada virus nya. tolong lebih di perhatikan lagi"
218,"Pas mau buka tiktok saya tidak bisa dibuka aplikasinya, cuma ada gambar tiktoknya saja, tolong developer diperbaiki bugnya!!!!!!!, diinstal lagi baru bisa masuk aplikasinya, tolong tiktok diperbaiki!!!"
219,"bener"" tiktok sekarang banyak eror nya , abis di upgrade , malah bikin lemot hp , bikin lag aplikasi lain , sampe ngabisan ram 5gb , padahal app gak ke buka sama sekali , stuck di logo tiktok , versi baru bikin kesel , draf jd pada ilang"
220,"Saya kira salah HP atau penyimpanan data saya yang penuh, soalnya setiap buka tiktok HP jadi nge-lag,grgr tiktok sistem HP juga tiba tiba tidak merespon, aku sudah berapa kali hapus download hapus download tiktok. Tolong perbaiki lah min, sudah banyak yang mengeluhkan masalah ini. Mohon cepat ditindaklanjuti"
221,"Aplikasi ini mudah sekali panas, menguras baterai, signal mudah hilang, sering keluar mendadak dan sering respon terlalu macet padahal jaringan memadai. Mohon di perbaiki kinerja dan kualitas aplikasi ini!"
222,"Tik tok knp si, setelah di update kok pas buka apk nya suka keluar sendiri, trs nge bug juga. Padahal jaringan lancar banget sampe aku hapus nih aplikasi trs aku install ulang, kalonya masih nge bug dan keluar sendiri aku ga bakal download lagi"
223,"Ini tiktok kenapa ya gabisa dibuka terus sih? Masa cuman logonya doang yg muncul sampe beberapa kali hrs di uninstall dulu baru bisa kebuka lg, kemudian beberapa saat masih gt lagi? Ini cuman app tiktok aja ya yg masalah, apk lain lancar2 aja kok. Berarti emg sistem tiktoknya lg ga bener nih, follow up dong !"
224,"Saya termasuk orang yang membuat konten di tiktok Dan sejauh ini saya masih belum menemukan masalah yang serius, dan pendapat saya... Mungkin lebih baik lagi jika ditambahkan fitur penyesuaian resolusi untuk menghemat sedikit kuota para pengguna, dan satu lagi.. Saya sering menemukan konten"" vulgar di sana, dan menurut saya itu tidak terlalu baik mengingat pengguna tiktok bukan hanya orang dewasa Jadi mungkin lebih baik jika vidio"" sedikit diperhatikan lagi, dan jika bisa ditindaklanjuti 😊"
225,"Aplikasinya lag banget, kenapa foto slide ga ada di pencarian? Jadi harus lewat fyp banget gitu? Sebenernya aplikasi nya bagus sih, cuman lag nya itu loh, masa pas saya masuk live, itu lag banget? Ini aplikasi paling jelek yang saya temuin."
226,"Tiktok kenapasih udah di update nggak bisa kebuka sama sekali, terus di coba hapus apknya di download lagi, malah nggak bisa login lagi. Terus ada tulisan sambungkan ke jaringan internet padahal jaringan bagus + kuota banyak🥲"
227,"Sebenarnya aplikasinya sangat bagus dan saya selalu membuka tiktok setiap hari, tapi tiba tiba tiktok tidak bisa dibuka selalu mental ke beranda awal kadang juga hanya terlihat logo nya saja. Saya harap agar pihak tiktok dengan segera mengatasi masalah yang ada agar aplikasinya dapat digunakan seperti semula lagi🌷🌷"
228,Sedih banget akhir akhir ini tik tok susah dan berat banget untuk di buka. Saat buka aplikasinya cuma keluar logo tik tok dan akhirnya hp ikutan nge lag. Jadi harus restart hp untuk bisa digunakan lagi.. Tik tok baru bisa dibuka saat uninstall aplikasi dan download yang baru. Tidak selang lama hal yang serupa berulang kembali. Jadi harus hapus download hapus download berulang kali. Tolong pihak tiktok di perbaiki lagi demi kepuasan pengguna
229,"Ini tik tot eror atau gimana ya, kok cuma muncul logo tik tok aja trus juga ngefek di hp bikin blank. Harus haps dan install ulang tolong diperbaiki dong sistemnya ku pikir penyimpanan internal hp ku ya terlalu penuh ternyata nggak, kenapa ya tik tok gk nyaman banget sekarang."
230,"Dear Tiktok, tolong diperbaiki kualitas nya sudah banyak yang komplain tetapi tetap tidak ada tanggapan. Setelah update memang banyak masalah, mulai ngebug, lelet dan tidak bisa masuk hingga harus uninstall dan instal ulang. BAHKAN SAYA HARUS INSTALL ULANG SETIAP 2 HARI SEKALI!!. Tolong dong Tiktok solusinya, sebagai pengguna saya merasa sangat tidak nyaman. Saya berharap semoga masalah ini cepat ditanggapi dan secepatnya dapat solusi Thanks"
231,"Ternyata byk teman2 yg tiktoknya bermasalah tak kira cuman saya, setiap kali buka tiktok yg muncul hanya logo dan HP langsung ngelek sudah berkali2 saya hapus baru dowload lagi paling bertahan 3 hari trus error lagi, capek juga harus hapus dowload hapus dowload, malah sempat kepikiran HP saya yg error tapi coba buka aplikasi lain aman aja. Tolong tiktok di bagusin lagi aplikasinya"
232,"Kirainn cuma punyaku yg tiktoknya ngelleg. Kenapa sihh tiktok tolong diperbaiki seperti dulu masak setiap dibuka gabisa,udah diupgrade juga masih sama aja lemot,diunistal juga sama aja ngelleg. padahal untuk buka apk lainnya aman"" aja sihh. tolong dong tiktok diperbaiki lagi ya terimakasih😊"
233,"Kenapa nih dengan Tik Tok, setelah update malah gk bisa kebuka sama sekali, padahal saya sudah hapus cache nya, terakhir saya hapus app tik tok nya terus download lagi emang bisa kebuka, tapi setelah saya keluar dari app nya, ngulang lagi gk bisa kebuka, MASA!! saya harus hapus terus install ulang lagi aplikasinya setiap mau buka Tik Tok, tolong dong segera rilis update tan barunya, bikes deh klo kayak gini"
234,"Sering error,gak bisa di buka... Bug bermasalah mungkin... Harap perbaikannya di optimalkan di setiap perangkat dan lebih ringan data nya... Masa sering update tapi masih sering error juga"
235,"Tiktok lagi kenapa sihh kok setelah apk nya di buka cuma muncul logo doang,malah jadi hape saya tambah lemot seperti ada Virusnya, beberapa kali langsung keluar sendiri ke beranda kadang juga langsung hape saya off , sebenarnya apk ini sangat bagus dan bermanfaat,tapi minta tolong dong pihak tiktok perbaiki lagi sistemnya 🙏"
236,"Tolong dong diperbaiki aplikasinya, suka keluar tiba-tiba, ada suara nggak ada gambar, suka nggak merespon, udah digeser nggak mau geser tampilanny, susah dibuka nunggunya lama banget, udah lapor tapi belum ada tanggapan, pas lapor juga mau kirim bukti video sama foto nggak bisa dikirim (coba setengah jam lebih nggak bisa bisa layar putih seperti pas memuat gitu aja terus) padahal pake aplikasi lainnya lancar aja lo, kalau udah nggak merespon hp jadi lag"
